Avg_Fscore,optimizer,learning_rate,hidden_layers,Epochs Run,Fscore,Time_taken,GUID
"0,3333333333333333", Adam/lr,0.0489," (Bi_LSTM;94.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;162.000000,softmax);(Dropout;0.400000,);(Dense;4.800000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",7, [0.  ;0.67],21.265327215194702,b8313376-51ec-4d19-af04-f069985055da
"0,3333333333333333", SGD/lr,0.0185," (Bi_LSTM;63.000000,relu);(Dropout;0.500000,);(Bi_LSTM;209.000000,softmax);(Dropout;0.100000,);(Dense;19.200000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)",19, [0.67;0.  ],27.089847564697266,45447442-70c3-4762-925f-aa684a6c9d83
"0,3333333333333333", Adam/lr,0.0012," (Bi_LSTM;10.000000,relu);(Dropout;0.500000,);(Bi_LSTM;105.000000,relu);(Dropout;0.400000,);(Dense;3.800000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)",6, [0.67;0.  ],20.130256175994877,5a33d610-dd58-4d92-9abf-efcfe2496e04
"0,6269785260610949", Adam/lr,0.0053," (Bi_LSTM;45.000000,relu);(Dropout;0.100000,);(Bi_LSTM;197.000000,softmax);(Dropout;0.300000,);(Dense;24.200000,relu);(Dropout;0.500000,);(Dense;2.000000,softmax)",15, [0.59;0.66],30.99675941467285,8606871d-ebcf-4697-a1ab-f4c13466e497
"0,3333333333333333", SGD/lr,0.0266," (Bi_LSTM;146.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;47.000000,softmax);(Dropout;0.100000,);(Dense;10.200000,relu);(Dropout;0.400000,);(Dense;2.000000,softmax)",6, [0.67;0.  ],26.449724435806274,3a9c2d12-9ba2-4178-962b-693f682662c8
"0,3333333333333333", Adam/lr,0.0844," (Bi_LSTM;167.000000,softmax);(Dropout;0.500000,);(Bi_LSTM;154.000000,softmax);(Dropout;0.200000,);(Dense;10.200000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",12, [0.  ;0.67],39.15359854698181,410f7a56-e787-4448-b0c6-45ea007f3607
"0,3333333333333333", Adam/lr,0.0973," (Bi_LSTM;226.000000,relu);(Dropout;0.200000,);(Bi_LSTM;278.000000,softmax);(Dropout;0.100000,);(Dense;5.300000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)",6, [0.67;0.  ],46.05428981781006,9172a19a-d389-4a6f-aa7b-5777bba0a190
"0,3333333333333333", SGD/lr,0.0859," (Bi_LSTM;168.000000,softmax);(Dropout;0.300000,);(Bi_LSTM;73.000000,relu);(Dropout;0.200000,);(Dense;5.400000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)",6, [0.67;0.  ],34.828365087509155,445eae82-2050-4e75-8850-26355e944357
"0,3333333333333333", SGD/lr,0.0243," (Bi_LSTM;122.000000,softmax);(Dropout;0.300000,);(Bi_LSTM;294.000000,softmax);(Dropout;0.400000,);(Dense;12.400000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",12, [0.  ;0.67],53.15718960762024,2c106bcd-ef5b-4091-8c7a-83bc7dd70558
"0,3333333333333333", SGD/lr,0.0696," (Bi_LSTM;120.000000,softmax);(Dropout;0.200000,);(Bi_LSTM;216.000000,softmax);(Dropout;0.500000,);(Dense;25.400000,relu);(Dropout;0.400000,);(Dense;2.000000,relu)",6, [0.67;0.  ],44.31415033340454,d996b914-7577-492d-bfef-f70da583c76e
"0,3333333333333333", SGD/lr,0.096," (Bi_LSTM;201.000000,relu);(Dropout;0.100000,);(Bi_LSTM;53.000000,relu);(Dropout;0.300000,);(Dense;7.600000,softmax);(Dropout;0.200000,);(Dense;2.000000,relu)",6, [0.67;0.  ],46.63247513771057,9ed88654-7698-4abd-bcf6-1cb3530d05de
"0,3333333333333333", Adam/lr,0.0268," (Bi_LSTM;206.000000,relu);(Dropout;0.400000,);(Bi_LSTM;300.000000,relu);(Dropout;0.100000,);(Dense;29.700000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)",6, [0.67;0.  ],27.81230092048645,7855b753-4c26-4666-a284-abca6e536cc6
"0,3333333333333333", SGD/lr,0.0995," (Bi_LSTM;199.000000,softmax);(Dropout;0.200000,);(Bi_LSTM;224.000000,softmax);(Dropout;0.400000,);(Dense;9.800000,softmax);(Dropout;0.400000,);(Dense;2.000000,relu)",6, [0.67;0.  ],22.26751160621643,6d05734c-cf06-4a79-8c29-138641ab8a9e
"0,3333333333333333", SGD/lr,0.0012," (Bi_LSTM;265.000000,softmax);(Dropout;0.200000,);(Bi_LSTM;237.000000,softmax);(Dropout;0.300000,);(Dense;1.300000,relu);(Dropout;0.400000,);(Dense;2.000000,softmax)",13, [0.  ;0.67],43.10267949104309,43aafdc4-944c-4314-abcd-5af150f14352
"0,3333333333333333", SGD/lr,0.0674," (Bi_LSTM;249.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;227.000000,relu);(Dropout;0.200000,);(Dense;17.200000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",6, [0.  ;0.67],28.525549173355106,31e1556f-1779-43fa-84eb-90fc3b61f3a5
"0,3333333333333333", SGD/lr,0.0718," (Bi_LSTM;182.000000,relu);(Dropout;0.100000,);(Bi_LSTM;166.000000,softmax);(Dropout;0.400000,);(Dense;24.500000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)",6, [0.67;0.  ],25.82807993888855,bd829ee6-d3dd-4e3b-8bf2-42c4cbdb9c13
