Avg_Fscore	hidden_dim	input_function	output_function	optimizer	learning_rate	output_dim	input_dim	hidden_layers	Epochs Run	Fscore	Time_taken	GUID
0,5012733446519525	 240	 softmax	 relu	 Adam/lr	 0.0491	 2	 300	 (Bi_LSTM;77.000000,softmax);(Dropout;0.500000,);(Bi_LSTM;95.000000,relu);(Dropout;0.500000,);(Dense;24.800000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)	 6	 [0.38;0.62]	 16.33008074760437	1bbac0f0-82c4-4b5f-b3c6-3da9a87245a1
0,3333333333333333	 422	 softmax	 relu	 Adam/lr	 0.045	 2	 300	 (Bi_LSTM;156.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;51.000000,softmax);(Dropout;0.500000,);(Dense;3.100000,softmax);(Dropout;0.500000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 12.822808027267456	8ae46ad9-f5dd-4c0d-aa40-776a2770f0a2
0,3333333333333333	 13	 softmax	 softmax	 Adam/lr	 0.088	 2	 300	 (Bi_LSTM;213.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;30.000000,softmax);(Dropout;0.400000,);(Dense;20.900000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)	 9	 [0.67;0.  ]	 13.63275671005249	b11e5292-f869-4fe5-9fde-94d6524a56ee
0,3333333333333333	 372	 softmax	 softmax	 Adam/lr	 0.0273	 2	 300	 (Bi_LSTM;158.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;52.000000,softmax);(Dropout;0.200000,);(Dense;29.900000,softmax);(Dropout;0.200000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 11.751589298248291	60dc6ab3-9994-42d7-bc01-43b607571fb1
0,3333333333333333	 229	 softmax	 softmax	 Adam/lr	 0.035	 2	 300	 (Bi_LSTM;294.000000,softmax);(Dropout;0.400000,);(Bi_LSTM;230.000000,relu);(Dropout;0.100000,);(Dense;5.300000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 13.063843965530396	b8a4fdaa-1fcb-4a37-8d22-f9b3ef5c4945
0,3333333333333333	 414	 relu	 relu	 SGD/lr	 0.0768	 2	 300	 (Bi_LSTM;199.000000,softmax);(Dropout;0.400000,);(Bi_LSTM;120.000000,softmax);(Dropout;0.100000,);(Dense;8.200000,softmax);(Dropout;0.400000,);(Dense;2.000000,relu)	 12	 [0.67;0.  ]	 17.38179922103882	fdd17c4b-8017-4008-a9e9-7c4d142aa139
0,3333333333333333	 253	 softmax	 softmax	 SGD/lr	 0.0034	 2	 300	 (Bi_LSTM;280.000000,softmax);(Dropout;0.500000,);(Bi_LSTM;68.000000,relu);(Dropout;0.200000,);(Dense;1.900000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)	 9	 [0.  ;0.67]	 14.01364779472351	8dc66f79-877c-4523-b9f9-9b121e234e69
0,48958333333333337	 361	 softmax	 relu	 Adam/lr	 0.0556	 2	 300	 (Bi_LSTM;207.000000,softmax);(Dropout;0.500000,);(Bi_LSTM;197.000000,softmax);(Dropout;0.200000,);(Dense;27.200000,softmax);(Dropout;0.100000,);(Dense;2.000000,softmax)	 6	 [0.59;0.39]	 13.45108437538147	d66f394d-e2b2-4271-b0b1-6e00ebff876b
0,49582889368226835	 141	 softmax	 relu	 Adam/lr	 0.077	 2	 300	 (Bi_LSTM;270.000000,softmax);(Dropout;0.300000,);(Bi_LSTM;54.000000,relu);(Dropout;0.300000,);(Dense;3.700000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)	 6	 [0.4 ;0.59]	 15.656330108642578	3f3e6a03-4950-49ea-84da-a55f954e8128
0,5225396825396825	 289	 softmax	 relu	 SGD/lr	 0.004	 2	 300	 (Bi_LSTM;90.000000,softmax);(Dropout;0.400000,);(Bi_LSTM;230.000000,relu);(Dropout;0.400000,);(Dense;11.400000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)	 50	 [0.46;0.58]	 41.26279830932617	8bc4a89f-39bf-417c-8cd8-ab57cf2d10d9
0,33886494073871043	 390	 softmax	 softmax	 Adam/lr	 0.0537	 2	 300	 (Bi_LSTM;231.000000,relu);(Dropout;0.300000,);(Bi_LSTM;229.000000,softmax);(Dropout;0.100000,);(Dense;20.700000,relu);(Dropout;0.400000,);(Dense;2.000000,softmax)	 16	 [0.01;0.67]	 23.80990242958069	8fe78559-5259-4298-b969-de8fa565968b
0,3333333333333333	 365	 softmax	 softmax	 Adam/lr	 0.0474	 2	 300	 (Bi_LSTM;198.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;114.000000,relu);(Dropout;0.400000,);(Dense;20.000000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 12.895138025283813	78d9f606-153d-43ef-a356-53fcf1771f5f
