Avg_Fscore	hidden_dim	input_function	output_function	optimizer	learning_rate	output_dim	input_dim	hidden_layers	Epochs Run	Fscore	Time_taken	GUID
0,9624885121068327	 190	 softmax	 relu	 Adam/lr	 0.0381	 2	 300	 (Dense;34.000000,linear);(LeakyReLU;24.000000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)	 6	 [0.96;0.96]	 1.2068941593170166	f4ba2b59-a1da-41b2-b3dd-d8aaf491e039	
0,96999699969997	 488	 relu	 relu	 Adam/lr	 0.0045	 2	 300	 (Dense;284.000000,linear);(LeakyReLU;19.000000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)	 6	 [0.97;0.97]	 1.3683128356933594	6a4c3b30-e95d-4853-a37b-fe55d6a7fb71	
0,9649921232277263	 72	 relu	 relu	 Adam/lr	 0.0702	 2	 300	 (Dense;33.000000,linear);(LeakyReLU;104.000000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)	 6	 [0.96;0.97]	 0.8687727451324463	d1668374-6fe1-4955-bf43-1f26f18b72b1	
0,9044626021370207	 203	 softmax	 relu	 Adam/lr	 0.0245	 2	 300	 (Dense;102.000000,linear);(LeakyReLU;147.000000,softmax);(Dropout;0.000000,);(Dense;2.000000,softmax)	 6	 [0.9 ;0.91]	 1.253798007965088	602ace43-aa37-4ecd-81f1-c413844ecfad	
0,949954959463517	 91	 relu	 softmax	 Adam/lr	 0.032	 2	 300	 (Dense;183.000000,linear);(LeakyReLU;209.000000,softmax);(Dropout;0.000000,);(Dense;2.000000,softmax)	 6	 [0.95;0.95]	 1.1393678188323975	7c9e7170-f6ee-4728-90ae-6c01f10b6e6c	
0,9674754032737256	 445	 relu	 relu	 Adam/lr	 0.0759	 2	 300	 (Dense;37.000000,linear);(LeakyReLU;212.000000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)	 6	 [0.97;0.97]	 1.154987096786499	7ba48555-9286-48fb-ad0d-0823ca778532	
0,8424753867791842	 45	 relu	 relu	 SGD/lr	 0.0057	 2	 300	 (Dense;111.000000,linear);(LeakyReLU;186.000000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)	 6	 [0.84;0.84]	 1.1288177967071533	bef45824-6094-48e6-9d6c-e27f76754fcf	
0,9549718574108819	 29	 relu	 softmax	 Adam/lr	 0.0622	 2	 300	 (Dense;151.000000,linear);(LeakyReLU;237.000000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)	 6	 [0.95;0.96]	 1.238210916519165	7d4c1b70-b406-4b64-97dc-944fba3f875b	
0,929857962373807	 87	 softmax	 relu	 Adam/lr	 0.089	 2	 300	 (Dense;143.000000,linear);(LeakyReLU;60.000000,relu);(Dropout;0.400000,);(Dense;2.000000,softmax)	 6	 [0.93;0.93]	 1.2846248149871826	87f9e944-8a21-4311-94f4-c24d417497fe	
0,9674835385413865	 249	 softmax	 softmax	 Adam/lr	 0.0997	 2	 300	 (Dense;40.000000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)	 6	 [0.97;0.97]	 1.8146307468414307	e8d2ec67-7f93-4142-bbaa-5ad954081a0b	
0,995	 442	 softmax	 relu	 SGD/lr	 0.0188	 2	 300	 (Dense;249.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)	 42	 [0.99;0.99]	 4.6189234256744385	53dd2b35-7006-4fe0-8afa-b91a180c9fd2	
0,7056420850802396	 197	 softmax	 softmax	 SGD/lr	 0.0003	 2	 300	 (Dense;220.000000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)	 18	 [0.79;0.63]	 2.5108375549316406	4fb0f694-61f2-4845-865b-a03551a0d9c4	
0,3551783129359126	 301	 softmax	 softmax	 SGD/lr	 0.0989	 2	 300	 (Dense;256.000000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)	 8	 [0.67;0.04]	 1.6973469257354736	80f537ae-3623-4261-8b28-f90316380326	
0,984998499849985	 74	 softmax	 softmax	 SGD/lr	 0.0942	 2	 300	 (Dense;248.000000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)	 50	 [0.98;0.99]	 4.98025107383728	a3b85564-dc6f-445c-9323-57a1cc560ef9	
0,3333333333333333	 352	 softmax	 softmax	 SGD/lr	 0.0418	 2	 300	 (Dense;42.000000,softmax);(Dropout;0.300000,);(Dense;2.000000,relu)	 9	 [0.67;0.  ]	 1.5893239974975586	38f16df4-e680-400a-9c62-fc3930c83d11	
0,9849996249906248	 125	 softmax	 relu	 Adam/lr	 0.0487	 2	 300	 (Dense;132.000000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)	 26	 [0.98;0.99]	 3.0902609825134277	141a815a-fe8c-44d9-b8ca-933e7053a1a6	
0,9799979997999799	 284	 relu	 softmax	 Adam/lr	 0.0902	 2	 300	 (Dense;39.000000,relu);(Dropout;0.400000,);(Dense;2.000000,softmax)	 6	 [0.98;0.98]	 1.535149097442627	cafb1bcd-fc93-4034-bd0d-916d572fa905	
0,9924999531247072	 157	 relu	 relu	 SGD/lr	 0.086	 2	 300	 (Dense;158.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)	 18	 [0.99;0.99]	 2.212390899658203	227f5ada-7823-4208-9db1-4c72037d6bf5	
0,3333333333333333	 153	 softmax	 relu	 SGD/lr	 0.0913	 2	 300	 (Dense;219.000000,softmax);(Dropout;0.200000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 1.6219878196716309	c9a996e7-1c6d-41fe-9e95-e957531e97a6	
0,9899997499937498	 370	 relu	 relu	 SGD/lr	 0.0921	 2	 300	 (Dense;39.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)	 21	 [0.99;0.99]	 2.1849427223205566	c17cce5e-1267-4d8d-912b-a0e724529c0e	
0,3333333333333333	 66	 relu	 softmax	 Adam/lr	 0.0412	 2	 300	 (Dense;261.000000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 1.8810062408447266	7d3e776f-a5e2-48f8-a860-47e70aa03094	
0,984998499849985	 17	 softmax	 softmax	 SGD/lr	 0.0742	 2	 300	 (Dense;225.000000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)	 50	 [0.98;0.99]	 5.161414861679077	7b349979-9c59-498b-91fe-4403289bb6b8	
0,5519470536126099	 469	 relu	 softmax	 SGD/lr	 0.088	 2	 300	 (Dense;300.000000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)	 22	 [0.72;0.38]	 3.103736162185669	528f0afc-6ace-43fb-96bb-473d44e3b68b	
0,9824998906243163	 87	 softmax	 relu	 Adam/lr	 0.0743	 2	 300	 (Dense;62.000000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)	 14	 [0.98;0.98]	 2.1365320682525635	597eb66a-2f78-4e85-8a20-6eefbf81a94a	
0,7688104245481295	 500	 softmax	 relu	 SGD/lr	 0.0718	 2	 300	 (Dense;78.000000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)	 7	 [0.82;0.72]	 1.6169981956481934	a237cd81-b510-4fb4-997b-16a937f110be	
0,3333333333333333	 38	 softmax	 softmax	 Adam/lr	 0.0517	 2	 300	 (Dense;291.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)	 11	 [0.67;0.  ]	 2.4983601570129395	0f2c8efd-2819-43d3-a7a3-2fc87f401561	
0,3333333333333333	 123	 relu	 relu	 Adam/lr	 0.0488	 2	 300	 (Dense;170.000000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)	 8	 [0.67;0.  ]	 2.0322251319885254	8ed7468c-8c01-431c-b2d3-2e47024c0365	
