Avg_Fscore,optimizer,learning_rate,hidden_layers,Epochs Run,Fscore,Time_taken,GUID
"0,3333333333333333", SGD/lr,0.0495," (RNN;128.000000,softmax);(Dropout;0.500000,);(RNN;147.000000,relu);(Dropout;0.500000,);(Dense;104.000000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)",6, [0.  ;0.67],2.93035626411438,178b9a43-6b0d-4aaa-a63e-16296c4d8d24
"0,3333333333333333", Adam/lr,0.0228," (RNN;153.000000,relu);(Dropout;0.500000,);(RNN;65.000000,relu);(Dropout;0.100000,);(Dense;135.000000,softmax);(Dropout;0.200000,);(Dense;2.000000,softmax)",8, [0.67;0.  ],3.2660427093505864,4c1dcb63-6af6-413a-a68d-175884db8502
"0,3333333333333333", Adam/lr,0.0225," (RNN;69.000000,relu);(Dropout;0.500000,);(RNN;120.000000,relu);(Dropout;0.200000,);(Dense;139.000000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)",9, [0.67;0.  ],3.605544328689575,238470ab-8ff1-48d4-b539-a62d6e4e90fe
"0,39563997409885604", Adam/lr,0.0595," (RNN;211.000000,softmax);(Dropout;0.500000,);(RNN;174.000000,softmax);(Dropout;0.100000,);(Dense;255.000000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)",15, [0.66;0.13],5.993783473968506,7638ba65-07e4-41e4-89c2-8d308fe7b2cf
"0,6041985019664822", SGD/lr,0.0379," (RNN;255.000000,relu);(Dropout;0.200000,);(RNN;129.000000,relu);(Dropout;0.100000,);(Dense;73.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",13, [0.59;0.62],4.668959379196167,5f74eaf9-1feb-4289-aaeb-2e146a6b0979
"0,3333333333333333", SGD/lr,0.0208," (RNN;79.000000,relu);(Dropout;0.500000,);(RNN;59.000000,relu);(Dropout;0.500000,);(Dense;55.000000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)",6, [0.67;0.  ],3.232620477676392,0b73d46a-f024-4e96-a265-92f2b73602e0
"0,5456823964619065", Adam/lr,0.0425," (RNN;68.000000,softmax);(Dropout;0.300000,);(RNN;220.000000,softmax);(Dropout;0.500000,);(Dense;191.000000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)",7, [0.6 ;0.49],4.242310047149658,c418fcdd-1e48-4f68-abc1-edad41a67f94
"0,3333333333333333", SGD/lr,0.0099," (RNN;67.000000,softmax);(Dropout;0.500000,);(RNN;127.000000,relu);(Dropout;0.500000,);(Dense;15.000000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)",6, [0.67;0.  ],3.636380434036255,2ecbe1b3-dd45-4ada-9589-3ce4f0a387cd
"0,3333333333333333", Adam/lr,0.0923," (RNN;217.000000,softmax);(Dropout;0.200000,);(RNN;237.000000,softmax);(Dropout;0.200000,);(Dense;210.000000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)",9, [0.67;0.  ],5.427141189575195,bda9bdca-cdd3-424d-ae50-c7ae7e0a7e67
"0,3333333333333333", SGD/lr,0.0336," (RNN;62.000000,softmax);(Dropout;0.200000,);(RNN;185.000000,relu);(Dropout;0.100000,);(Dense;44.000000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)",6, [0.67;0.  ],4.171060085296632,a967fdcf-b17a-4b04-81fe-c40367d315b5
